item,group,example part,station_mm,mass_g,mass_basis,max_g,size_mm,lane,status,requirement,not checked here
gps_compass,Autopilot core,Matek M10Q-5883 (M10 GNSS + QMC5883L mag),320.0,22.0,max,22.0,20.0 x 20.0 x 12.4,bay_deck,placed,"Top deck, highest point in the pod. >=80 mm from the battery leads and from the ESC.","directly under the LW-PLA hatch skin — RF-transparent, no carbon or metal above it | all high-current wiring routed below the deck shelf | sky view unobstructed"
airspeed_board,Autopilot core,Matek ASPD-4525 (MS4525DO / DLVR based),379.0,6.0,max,6.0,22.0 x 16.0 x 8.0,bay_shelf,placed,"Within 300 mm of the FC — this is an I2C run, not a bus.",tubing kink-free
pitot_probe,Autopilot core,,350.0,9.0,max,9.0,,derived from structure,placed,"Clean air: outer wing LE at ~2/3 semi-span, protruding >=40 mm ahead of the surface, clear of the fuselage boundary layer.",a handling hazard on a hand launch — position away from the grip | its own parasite drag is NOT in the buildup at this fidelity
buzzer,Autopilot core,Passive buzzer on FC BUZ pads,340.0,3.0,max,3.0,12.0 x 12.0 x 9.5,bay_deck,placed,Anywhere in the pod — no structural requirement.,unobstructed sound path — near the hatch seam or a cooling exit
companion_pi,Companion compute,Raspberry Pi Zero 2 W,223.0,20.0,max,20.0,65.0 x 30.0 x 13.0,bay_shelf,placed,"Nose bay preferred, flat against the F1 bulkhead face (max forward moment). Fallback: beside the FC tray — which is where a PULLER puts it, the nose being full of motor.",keep the WiFi antenna end clear of carbon | common ground with the FC | verify nose-cap internal clearance in CAD
bec_pi,Companion compute,"Matek mini BEC / Pololu D24V22F5, 5 V / 3 A",270.0,12.0,max,12.0,20.3 x 17.8 x 5.0,bay_shelf,placed,Within ~50 mm of the Pi; twisted input pair from the PDB tap.,common ground with the FC
sd_card_pi,Companion compute,32 GB A1,223.0,1.0,max,1.0,15.0 x 11.0 x 1.0,rides companion_pi,placed,Pi card slot (no freedom of its own).,orient the slot toward the hatch
receiver_elrs,RC link,RadioMaster RP3 V2 (ELRS 2.4 GHz diversity),353.0,5.0,max,5.0,22.0 x 13.0 x 4.0,bay_shelf,placed,Behind the FC tray.,"THE ANTENNAS ARE THE REAL CONSTRAINT, NOT THE BOARD: tips 90 deg apart and >=30 mm from ANY carbon (boom, wing spar), from the phase wires and from the GPS puck"
telemetry_sik,Telemetry / GCS,"Holybro SiK Radio V3, 915 MHz 100 mW (air unit)",217.0,30.0,max,30.0,53.0 x 10.7 x 28.0,bay_right,placed,"RIGHT sidewall, opposite the ESC. >=100 mm from the GPS puck (desense).",antenna vertical; do not lay it along the boom | >=100 mm from the ELRS antennas
wiring_pod,Support,,220.0,24.0,max,24.0,,derived from structure,placed,Distributed through the bay; charged at the bay centroid.,keep every harness clear of the RX antennas
wiring_boom,Support,,862.6,16.0,max,16.0,,derived from structure,placed,"Motor phase wires in the LEFT boom channel, servo leads in the RIGHT; charged at the boom's midpoint.",zip-tie slots at both boom ends | aileron leads pass through the wing saddle
transmitter,RC link,RadioMaster Boxer ELRS 2.4 GHz,,,,,,,ground/bench — no airframe constraint,Ground item — no airframe constraint.,
ground_station,Telemetry / GCS,Laptop + Mission Planner / QGroundControl,,,,,,,ground/bench — no airframe constraint,Ground item — no airframe constraint.,
charger,Support,ISDT / ToolkitRC >=100 W balance charger,,,,,,,ground/bench — no airframe constraint,Bench item — no airframe constraint.,
lipo_checker,Support,Any cell-voltage checker,,,,,,,ground/bench — no airframe constraint,Field-box item — no airframe constraint.,
